Guid,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,IsCustomerPortal,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,IsBuyer,ccrz__CustomField1__c,ccrz__CustomField2__c,ccrz__DataId__c,ccrz__PreventAddrBookSave__c,ccrz__PreventNewAddrCheckout__c,ccrz__PreventNewBillAddrCO__c,ccrz__SourceSystem__c,ccrz__TaxExemptAccount__c,ccrz__UsedByCloudcraze__c,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__CoTerminationEvent__c,SBQQ__ContractCoTermination__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,CorporateLocations__c,FranchiseLocations__c,TaxID__c,BillingEmail__c,Test_Field__c,Custom_Account_Picklist__c,Project_Based__c,Primary_Use_Case__c,JJ__c
52aa2d52-b22b-4d4d-b272-e956119dd30c,Twimm,Prospect,10/33-37 Gannons Rd,Caringbah,NSW,1495,Australia,#N/A,#N/A,#N/A,10/33-37 Gannons Rd,Caringbah,NSW,1495,Australia,#N/A,#N/A,#N/A,(02) 6905 6165,#N/A,#N/A,Healthcare,8.0231577E7,#N/A,Nick Ciapetta Hospital is the leader in Healthcare in Caringbah,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
9e1650cb-2855-4a0d-a897-d0fc6f5cb30a,Oodoo,Customer,1501 Page Mill Rd,Palo Alto,CA,94304-1126,United States,#N/A,#N/A,#N/A,P.O. BOX 10301,Palo Alto,CA,94303-0890,US,#N/A,#N/A,#N/A,1.650.857.1501,#N/A,#N/A,Automotive,1.03355E11,#N/A,Kumatsu Motors is the leader in Automotive in Palo Alto,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
78c2ed00-4bd4-4843-8916-53c1b65e17b8,Trilith,Customer,27 Temple St,Victoria Park,WA,6100,Australia,#N/A,#N/A,#N/A,27 Temple St,Victoria Park,WA,6100,Australia,#N/A,#N/A,#N/A,(08) 7764 6096,#N/A,#N/A,Banking,2.87538616E8,#N/A,LexCorp is the leader in Banking in Victoria Park,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
b08ff41e-a88c-4474-b658-d4bfa83df38d,Mybuzz,Customer,235 E 42nd St,New York,NY,10017-5703,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.212.733.2323,#N/A,#N/A,Manufacturing,4.8851E10,#N/A,Procurabl Holdings Inc. is the leader in Manufacturing in New York,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
957363ed-f7e7-4432-a639-c868929084aa,Twiyo,Customer,1211 Ave of The Americas,New York,NY,10036-8701,United States,#N/A,#N/A,#N/A,178 Campbell Parade,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.212.852.7000,#N/A,#N/A,Automotive,2.8987E10,#N/A,Enginomics is the leader in Automotive in New York,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
ab7ee815-3a11-44cc-b064-55d63536825e,Yakitri,Customer,1483 Alaskan Way,Seattle,WA,#N/A,USA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(555) 561-5555,#N/A,#N/A,Healthcare,7.58251458E8,#N/A,Susannah St-Germain Hospital is the leader in Healthcare in Seattle,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
63a2522c-da85-4079-a621-fd46a49cd78b,Eadel,Customer,208 S Akard St,Dallas,TX,75202-4295,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.210.821.4105,#N/A,#N/A,Automotive,1.46801E11,#N/A,"Regal Machine, Inc. is the leader in Automotive in Dallas",false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
3ece893c-ab24-42eb-a466-e7fc2e4faee5,Yodel,Customer,770 Cochituate Rd Ste 1,Framingham,MA,01701-4698,United States,#N/A,#N/A,#N/A,P.O. BOX 9133,Framingham,MA,01701-9133,US,#N/A,#N/A,#N/A,1.508.390.1000,#N/A,#N/A,Consumer Goods,3.0944938E10,#N/A,Prandial Foods is the leader in Consumer Goods in Framingham,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
8ce5d615-acaa-40c8-934a-a82144c15e9c,Quatz,Prospect,2591 Vidon Court,Houston,TX,77228,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Manufacturing,2.1153104E7,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
d06a901f-acfb-4ce5-8392-4058ad32485b,Meevee,Customer,2200 W Don Tyson Pkwy,Springdale,AR,72762-6901,United States,#N/A,#N/A,#N/A,P.O. BOX 2020,Springdale,AR,72765-2020,US,#N/A,#N/A,#N/A,1.479.290.4000,#N/A,#N/A,Media,4.1373E10,#N/A,Newslync is the leader in Media in Springdale,false,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,Skip
