Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
05e66bf2-7247-4576-b3ff-5641ff8632f2,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,#N/A,952.0,updateLineOptional,#N/A,#N/A,Optional: All,Group,#N/A,Quote Line Editor,b5df891a-68fb-4a09-930e-9deee20c8a4d,#N/A,#N/A,Button,#N/A,#N/A
09cecf01-3f75-43f2-911b-cdbeae959354,Add Group,Add Group,true,false,addGroupBtn,All,false,#N/A,905.0,onAddGroup,#N/A,#N/A,Add Group,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Menu,#N/A,#N/A
0ff45483-d890-4f3f-b50a-031058137ca7,Resegment Line,Resegment Line,true,false,resegmentBtn,All,false,#N/A,996.0,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
10c2d236-f807-48a3-b482-2f533713e5bc,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,#N/A,995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
1457e757-b294-4fb2-bcc1-d2a36d674ccc,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,#N/A,951.0,onDeleteGroup,#N/A,#N/A,Delete Group,Group,#N/A,Quote Line Editor,b5df891a-68fb-4a09-930e-9deee20c8a4d,#N/A,#N/A,Button,#N/A,#N/A
45a9b239-3040-481c-96bc-491a0428556b,Save,Save,true,true,saveBtn,All,false,#N/A,916.0,onSave,#N/A,#N/A,Save,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
48345804-f911-4eaa-8fb7-0edaf8738433,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,#N/A,901.0,onAddFavorites,#N/A,#N/A,Add Favorites,Quote/Group,#N/A,Quote Line Editor,b5df891a-68fb-4a09-930e-9deee20c8a4d,#N/A,#N/A,Button,#N/A,#N/A
4931e857-d59e-4d3d-81e2-7be0653859bd,Calculate,Calculate,true,false,calculateBtn,All,false,#N/A,913.0,onFlagCalculate,#N/A,#N/A,Calculate,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
4b13387d-551a-40e3-a2fe-03418a4398a8,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,#N/A,998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
53471afe-4c78-4d54-9aed-e8f9ad7c9f64,Separator,#N/A,true,false,#N/A,All,false,#N/A,904.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
55fdccad-760c-4c8d-a798-27da92ee208e,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,#N/A,950.0,onCloneGroup,#N/A,#N/A,Clone Group,Group,#N/A,Quote Line Editor,b5df891a-68fb-4a09-930e-9deee20c8a4d,#N/A,#N/A,Button,#N/A,#N/A
