Guid,SBQQ__AppliedImmediatelyContext__c,SBQQ__AppliedImmediately__c,SBQQ__Bundled__c,SBQQ__ComponentCodePosition__c,SBQQ__ComponentCode__c,SBQQ__ComponentDescriptionPosition__c,SBQQ__ComponentDescription__c,SBQQ__ConfiguredSKU__c,SBQQ__DefaultPricingTable__c,SBQQ__DiscountAmount__c,SBQQ__DiscountSchedule__c,SBQQ__Discount__c,SBQQ__DiscountedByPackage__c,SBQQ__ExistingQuantity__c,SBQQ__Feature__c,SBQQ__MaxQuantity__c,SBQQ__MinQuantity__c,SBQQ__Number__c,SBQQ__OptionalSKU__c,SBQQ__PriceEditable__c,SBQQ__ProductCode__c,SBQQ__ProductConfigurationType__c,SBQQ__ProductDescription__c,SBQQ__ProductFamily__c,SBQQ__ProductName__c,SBQQ__ProductQuantityScale__c,SBQQ__ProductSubscriptionPricing__c,SBQQ__QuantityEditable__c,SBQQ__Quantity__c,SBQQ__QuoteLineVisibility__c,SBQQ__Required__c,SBQQ__Selected__c,SBQQ__SubscriptionScope__c,SBQQ__System__c,SBQQ__Type__c,SBQQ__UnitPrice__c,SBQQ__UpliftedByPackage__c
0a73501d-d5af-4c7c-bcfc-754400ac2384,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,c2f2243d-e21e-4454-85df-93827fb15ed1,No,COF-R-6,#N/A,1 24-count Box of K-Cups Pods- Recurring,BEV,Uptime Espresso,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
10ad4332-4e4f-4094-b508-98eaeaabb99d,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,453f4e0e-3d7f-4d4d-ae37-3cd7a1c4d1c7,No,COF-OT-3,#N/A,1 24-count Box of K-Cups Pods- One time,BEV,Pumpkin Sandbox Latte,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
13a43854-1f84-468f-9c1f-0fcf3290a812,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,7b2997d9-13b9-48b8-b639-5abb1b21e863,No,POP-OT-4,#N/A,8 Gallon Bag in Box Syrup- One time,BEV,Low-Code Lemon-Lime Syrup,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
2f626470-de7a-4c81-836f-46c23c02c92f,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,20c7d642-d466-426f-aea0-5963e800090d,No,POP-R-8,#N/A,12 Gallon Bag in Box Syrup- Recurring,None,Agile Ginger Ale Syrup,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
3f98520f-4cb2-4c44-86af-f7e88db45e33,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,47540f07-da99-4a01-85cb-f2a6658c6d13,#N/A,#N/A,12.0,8094c37e-ebd0-4c70-911a-830343b2cdb6,No,EQP-OT-2,#N/A,"Forces CO2 into water to create carbonation for sodas
No need to turn off CO2 or water to service; maintain electronics without depressurizing the tank
115V, 1/3 hp, 1725 RPM motor",EQP,Fastflow Carbonator,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
421571ff-6b8b-4722-b189-c1a68a34369b,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,4a20e4c5-847e-4798-afb0-74747c12ece3,#N/A,#N/A,11.0,5558624a-5362-409f-83de-ef4c5d2871a0,No,SRV-R-2,#N/A,Regular cleaning & preventative maintenance to keep your equipment operating optimally.- Recurring,SRV,Monthly Maintance Plan,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
49d4008e-afdd-4f85-afba-56c5cc8f0bee,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,0ce1d3c3-b0a5-4fca-b2bf-15f5a2c25005,No,COF-R-2,#N/A,1 24-count Box of K-Cups Pods- Recurring,BEV,Declarative Decaf,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
4b2e02ec-b44d-486f-a7a7-d83772ab5bfb,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,fd8fb8af-e470-403d-8f83-76dde9f4b1b0,No,COF-R-4,#N/A,1 24-count Box of K-Cups Pods- Recurring,BEV,Deployment Dark Roast,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
4bcb8d62-f10b-4161-b74b-439736c64c46,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,036bfc59-32cb-44d9-a8f9-1be6794bb70f,No,COF-OT-1,#N/A,8 24-count Boxes of our best selling blends.- One time,BEV,Best Sellers Varieties Curated Collection,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
4c5a1578-2364-4215-b380-b804ad67d1ec,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,47540f07-da99-4a01-85cb-f2a6658c6d13,#N/A,1.0,12.0,e0cac846-188a-49a0-ad61-209370b94e10,No,EQP-OT-1,#N/A,"10 Flomatic valves to dispense an assortment of beverages. 
Ice dispenser holds 200lb of ice.",EQP,10 Valve Push Button Countertop Ice/Beverage Dispenser,#N/A,#N/A,true,1.0,#N/A,true,true,#N/A,false,Component,#N/A,false
4fdeb74f-65b2-44ba-97a7-04a32752cb6f,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,4f5e247d-f791-44f8-9d48-c1d003d3f945,No,POP-R-5,#N/A,9 Gallon Bag in Box Syrup- Recurring,BEV,Go-Live Grape Syrup,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
